trading.hour;Pf;Pnl;Sharpe;AvgPnl
0;1.00431;30.48;0.00002;0.08886
1;0.96218;-239.52;-0.00018;-0.74155
9;1.06414;63.61;0.00014;3.1805
10;1.18072;1392.36;0.00057;4.27104
11;1.05936;474.03;0.00019;1.43645
12;1.01858;150.4168;0.00007;0.44634
13;1.00894;77.0482;0.00004;0.20824
14;0.99894;-9.5492;-0;-0.02581
15;1.00852;74.8651;0.00004;0.19701
16;0.98219;-139.0568;-0.00009;-0.36983
17;0.98099;-139.5612;-0.0001;-0.36921
18;0.96217;-279.3806;-0.00022;-0.72378
19;0.96013;-296.6928;-0.00023;-0.75303
20;0.97282;-181.8339;-0.00017;-0.49954
21;0.99954;-3.6114;-0;-0.00955
22;1.02052;150.6732;0.0001;0.38833
23;1.02779;180.17;0.00011;0.53943
